#code,name,english
aa,Qafár af,Afar
glk,گیلکی,Gilaki
gn,Avañe'ẽ,Guarani
got,𐌲𐌿𐍄𐌹𐍃𐌺|Gothic,Gothic
gu,ગુજરાતી|Gujarati,Gujarati
gv,Gaelg,Manx
ha,هَوُسَ,Hausa
hak,Hak-kâ-fa,Hakka
haw,Hawai`i,Hawaiian
he,עברית,Hebrew
hi,हिन्दी,Hindi
hif,Fiji Hindi,Fiji Hindi
ho,Hiri Motu,Hiri Motu
hr,hrvatski,Croatian
hsb,hornjoserbsce,Upper Sorbian
ht,Kreyòl ayisyen,Haitian
hu,magyar,Hungarian
hy,Հայերեն,Armenian
hz,Otsiherero,Herero
ia,interlingua,Interlingua
id,Bahasa Indonesia,Indonesian
ie,Interlingue,Interlingue
ig,Igbo,Igbo
ii,ꆇꉙ|Sichuan Yi,Sichuan Yi
ik,Iñupiak,Inupiaq
ilo,Ilokano,Iloko
io,Ido,Ido
is,íslenska,Icelandic
it,italiano,Italian
iu,ᐃᓄᒃᑎᑐᑦ|inuktitut,Inuktitut
ja,日本語,Japanese
jbo,Lojban,Lojban
jp,
jv,Basa Jawa,Javanese
ka,ქართული,Georgian
kaa,Qaraqalpaqsha,Kara-Kalpak
kab,Taqbaylit,Kabyle
kbd,Адыгэбзэ,Kabardian
kg,Kongo,Kongo
ki,Gĩkũyũ,Kikuyu
kj,Kwanyama,Kuanyama
kk,қазақша,Kazakh
kl,kalaallisut,Kalaallisut
km,ភាសាខ្មែរ|Khmer,Khmer
kn,ಕನ್ನಡ,Kannada
ko,한국어,Korean
koi,Перем Коми,Komi-Permyak
kr,Kanuri,Kanuri
krc,къарачай-малкъар,Karachay-Balkar
ks,कॉशुर / کٲشُر,Kashmiri
ksh,Ripoarisch,Colognian
ku,Kurdî,Kurdish
kv,коми,Komi
kw,kernowek,Cornish
ky,Кыргызча,Kirghiz
la,Latina,Latin
lad,Ladino,Ladino
lb,Lëtzebuergesch,Luxembourgish
lbe,лакку,лакку
lez,лезги,Lezghian
lg,Luganda,Ganda
li,Limburgs,Limburgish
lij,Ligure,Ligure
lmo,lumbaart,lumbaart
ln,lingála,Lingala
lo,ລາວ|Lao,Lao
lt,lietuvių,Lithuanian
ltg,latgaļu,Latgalian
lv,latviešu,Latvian
map-bms,Basa Banyumasan,Basa Banyumasan
mdf,мокшень,Moksha
mg,Malagasy,Malagasy
mh,Ebon,Marshallese
mhr,олык марий,Eastern Mari
mi,Māori,Maori
minnan,
mk,македонски,Macedonian
ml,മലയാളം|Malayalam,Malayalam
mn,монгол,Mongolian
mo,молдовеняскэ,Moldavian
mr,मराठी,Marathi
mrj,кырык мары,Hill Mari
ms,Bahasa Melayu,Malay
mt,Malti,Maltese
mus,Mvskoke,Creek
mwl,Mirandés,Mirandese
my,မြန်မာဘာသာ|Burmese,Burmese
myv,эрзянь,Erzya
mzn,مازِرونی,Mazanderani
na,Dorerin Naoero,Nauru
nah,Nāhuatl,Nahuatl
nan,Bân-lâm-gú,Min Nan Chinese
nap,Nnapulitano,Neapolitan
nb,‪norsk |bokmål,Norwegian Bokmål
nds,Plattdüütsch,Low German
nds-nl,Nedersaksisch,Nedersaksisch
ne,नेपाली,Nepali
new,नेपाल भाषा,Newari
ng,Oshiwambo,Ndonga
nl,Nederlands,Dutch
nn,‪norsk |nynorsk,Norwegian Nynorsk
no,‪norsk |bokmål,Norwegian (bokmål)‬
nov,Novial,Novial
nrm,Nouormand,Nouormand
nso,Sesotho sa Leboa,Northern Sotho
nv,Diné bizaad,Navajo
ny,Chi-Chewa,Nyanja
oc,occitan,Occitan
om,Oromoo,Oromo
or,ଓଡ଼ିଆ|Oriya,Oriya
os,Ирон,Ossetic
pa,ਪੰਜਾਬੀ|Punjabi,Punjabi
pag,Pangasinan,Pangasinan
pam,Kapampangan,Pampanga
pap,Papiamentu,Papiamento
pcd,Picard,Picard
pdc,Deitsch,Deitsch
pfl,Pälzisch,Pälzisch
pi,पाळि,Pali
pih,Norfuk / Pitkern,Norfuk / Pitkern
pl,polski,Polish
pms,Piemontèis,Piedmontese
pnb,پنجابی,Western Punjabi
pnt,Ποντιακά,Pontic
ps,پښتو,Pashto
pt,português,Portuguese
qu,Runa Simi,Quechua
rm,rumantsch,Romansh
rmy,Romani,Romani
rn,Kirundi,Rundi
ro,română,Romanian
roa-rup,Armãneashce,Aromanian
roa-tara,tarandíne,tarandíne
ru,русский,Russian
rue,русиньскый,Rusyn
rw,Kinyarwanda,Kinyarwanda
sa,संस्कृतम्,Sanskrit
sah,саха тыла,Sakha
sc,sardu,Sardinian
scn,sicilianu,Sicilian
sco,Scots,Scots
sd,سنڌي,Sindhi
se,sámegiella,Northern Sami
sg,Sängö,Sango
sh,srpskohrvatski/српскохрватски,Serbo-Croatian
si,සිංහල|Sinhala,Sinhala
simple,Simple English,Simple English
sk,slovenčina,Slovak
sl,slovenščina,Slovenian
sm,Gagana Samoa,Samoan
sn,chiShona,Shona
so,Soomaaliga,Somali
sq,shqip,Albanian
sr,српски / srpski,Serbian
srn,Sranantongo,Sranan Tongo
ss,SiSwati,Swati
st,Sesotho,Southern Sotho
stq,Seeltersk,Seeltersk
su,Basa Sunda,Sundanese
sv,svenska,Swedish
sw,Kiswahili,Swahili
szl,ślůnski,Silesian
ta,தமிழ்,Tamil
te,తెలుగు,Telugu
tet,tetun,Tetum
tg,тоҷикӣ,Tajik
th,ไทย,Thai
ti,ትግርኛ,Tigrinya
tk,Türkmençe,Turkmen
tl,Tagalog,Tagalog
tn,Setswana,Tswana
to,lea faka-Tonga,Tongan
tpi,Tok Pisin,Tok Pisin
tr,Türkçe,Turkish
ts,Xitsonga,Tsonga
tt,татарча/tatarça,Tatar
tum,chiTumbuka,Tumbuka
tw,Twi,Twi
ty,Reo Mā`ohi,Tahitian
udm,удмурт,Udmurt
ug,ئۇيغۇرچە / Uyghurche,Uighur
uk,українська,Ukrainian
ur,اردو,Urdu
uz,oʻzbekcha,Uzbek
ve,Tshivenda,Venda
vec,vèneto,vèneto
vep,vepsän kel’,Veps
vi,Tiếng Việt,Vietnamese
vls,West-Vlams,West-Vlams
vo,Volapük,Volapük
wa,walon,Walloon
war,Winaray,Waray
wo,Wolof,Wolof
wuu,吴语,Wu
xal,хальмг,Kalmyk
xh,isiXhosa,Xhosa
xmf,მარგალური,Mingrelian
yi,ייִדיש,Yiddish
yo,Yorùbá,Yoruba
za,Vahcuengh,Zhuang
zea,Zeêuws,Zeeuws
zh,中文,Chinese
zh-cfr,
zh-classical,文言,Classical Chinese
zh-min-nan,Bân-lâm-gú,Bân-lâm-gú
zh-yue,粵語,Cantonese
zu,isiZulu,Zulu
